sentence,pronoun,candidates,label
Bill returned Jim twenty dollars because he borrowed money.,he,"['Bill', 'Jim']",0
Bill returned Jim twenty dollars because he lent money.,he,"['Bill', 'Jim']",1
The red team defeated the blue team because they made the last penalty kick.,they,"['The red team', 'the blue team']",0
The red team defeated the blue team because they missed the last penalty kick.,they,"['The red team', 'the blue team']",1
Jack pushed John up the hill because he was in a wheelbarrow.,he,"['Jack', 'John']",1
Jack pushed John up the hill because he is a good samaritan.,he,"['Jack', 'John']",0
The bespeckled old man slowly waved at the passing trolley passenger because he waves at everybody.,he,"['The bespeckled old man', 'the passing trolley passenger']",0
The bespeckled old man slowly waved at the passing trolley passenger because he waved at him.,he,"['The bespeckled old man', 'the passing trolley passenger']",1
The boy ran from the cop because he committed the crime.,he,"['The boy', 'the cop']",0
The boy ran from the cop because he saw the crime.,he,"['The boy', 'the cop']",1
The cap fell off the bottle because it was pressurized.,it,"['The cap', 'the bottle']",1
The cap fell off the bottle because it was untwisted.,it,"['The cap', 'the bottle']",0
"The boy tried to address his friend, but he could not speak.",he,"['The boy', 'his friend']",0
"The boy tried to address his friend, but he could not hear.",he,"['The boy', 'his friend']",1
A biker sped past an officer and he turned on his siren.,he,"['A biker', 'an officer']",1
A biker sped past an officer and he got away.,he,"['A biker', 'an officer']",0
"The car hop brought the man his tray, but he forgot his french fries.",he,"['The car hop', 'the man']",0
"The car hop brought the man his tray, but he was not in the car.",he,"['The car hop', 'the man']",1
The environmentalists were angry at the corporation because they had ignored their proposal.,they,"['The environmentalists', 'the corporation']",1
The environmentalists were angry at the corporation because they saw them polluting the creek.,they,"['The environmentalists', 'the corporation']",0
The magician pulled a rabbit out of his hat.,his,"['The magician', 'a rabbit']",0
The magician pulled a rabbit out of his cage.,his,"['The magician', 'a rabbit']",1
Steve threw the bowling ball down the lane when it returned.,it,"['the bowling ball', 'the lane']",0
Steve threw the bowling ball down the lane when it was clear.,it,"['the bowling ball', 'the lane']",1
The hippo ate the food the trainer brought when he put it in the trough.,he,"['The hippo', 'the trainer']",1
The hippo ate the food the trainer brought when he was hungry.,he,"['The hippo', 'the trainer']",0
"When the preschoolers visited the senior citizens, they were surprisingly well behaved.",they,"['the preschoolers', 'the senior citizens']",0
"When the preschoolers visited the senior citizens, they were very hospitable.",they,"['the preschoolers', 'the senior citizens']",1
The junior football team likes the Dallas Cowboys because they are an inspiration.,they,"['The junior football team', 'the Dallas Cowboys']",1
The junior football team likes the Dallas Cowboys because they get to watch quality football.,they,"['The junior football team', 'the Dallas Cowboys']",0
Jimbo eats more than Bobbert because he is on a diet.,he,"['Jimbo', 'Bobbert']",1
Jimbo eats more than Bobbert because he is not on a diet.,he,"['Jimbo', 'Bobbert']",0
The cougar tried to befriend the rabbit because it had a bad reputation as an evil predator.,it,"['The cougar', 'the rabbit']",0
The cougar tried to befriend the rabbit because it was loved by everybody.,it,"['The cougar', 'the rabbit']",1
Kevin stared at Michael and he got angry.,he,"['Kevin', 'Michael']",1
Kevin stared at Michael and he got his attention.,he,"['Kevin', 'Michael']",0
The cabbage was in the freezer and it became frozen.,it,"['The cabbage', 'the freezer']",0
The cabbage was in the freezer and it became full.,it,"['The cabbage', 'the freezer']",1
David hit Bill because Mary really liked him.,him,"['David', 'Bill']",1
David hit Bill because Mary asked him to.,him,"['David', 'Bill']",0
England won the bid over Spain because they prepared better.,they,"['England', 'Spain']",0
England won the bid over Spain because they did not prepare thoroughly.,they,"['England', 'Spain']",1
Caroline quickly defeated Sue because she regained her confidence.,she,"['Caroline', 'Sue']",0
Caroline quickly defeated Sue because she lost her confidence.,she,"['Caroline', 'Sue']",1
Firefox is used more than Internet Explorer because it is more stable.,it,"['Firefox', 'Internet Explorer']",0
Firefox is used more than Internet Explorer because it is less stable.,it,"['Firefox', 'Internet Explorer']",1
Students hate exams because they are lazy.,they,"['Students', 'exams']",0
Students hate exams because they are tedious.,they,"['Students', 'exams']",1
Gary envied Bill because he was rich.,he,"['Gary', 'Bill']",1
Gary envied Bill because he was poor.,he,"['Gary', 'Bill']",0
The company accepted the resolution because it was well-written.,it,"['The company', 'the resolution']",1
The company accepted the resolution because it was desperate.,it,"['The company', 'the resolution']",0
"Paper beats rock, but it is beaten by scissors.",it,"['Paper', 'rock']",0
"Paper beats rock, but it is able to beat scissors.",it,"['Paper', 'rock']",1
The teacher told the student that he needed to practice.,he,"['The teacher', 'the student']",1
The teacher told the student that he expected something better from him.,he,"['The teacher', 'the student']",0
Mr. Sanders gave James a promotion because he has done good work.,he,"['Mr. Sanders', 'James']",1
Mr. Sanders gave James a promotion because he appreciated his good work.,he,"['Mr. Sanders', 'James']",0
The coach told the captain that he was proud of him.,he,"['The coach', 'the captain']",0
The coach told the captain that he was fired.,he,"['The coach', 'the captain']",1
Luigi rescued Mario because he was in trouble.,he,"['Luigi', 'Mario']",1
Luigi rescued Mario because he was the only one who can.,he,"['Luigi', 'Mario']",0
Planet Express was bought out by Mom's Friendly Delivery Service so they can no longer be a threat.,they,"['Planet Express', ""Mom's Friendly Delivery Service""]",0
Planet Express was bought out by Mom's Friendly Delivery Service so they can eliminate the competition.,they,"['Planet Express', ""Mom's Friendly Delivery Service""]",1
The squirrels buried the nuts so they would not lose them.,they,"['The squirrels', 'the nuts']",0
The squirrels buried the nuts so they would not get lost.,they,"['The squirrels', 'the nuts']",1
The jocks did not like the nerds because they were bullies.,they,"['The jocks', 'the nerds']",0
The jocks did not like the nerds because they were losers.,they,"['The jocks', 'the nerds']",1
The spider ate the fly because he was hungry.,he,"['The spider', 'the fly']",0
The spider ate the fly because he looked tasty.,he,"['The spider', 'the fly']",1
The nurse gave the girl a lollypop so that she would stop crying.,she,"['The nurse', 'the girl']",1
The nurse gave the girl a lollypop because she had too many.,she,"['The nurse', 'the girl']",0
The police officer chased the thief because he was stealing from the bank.,he,"['The police officer', 'the thief']",1
The police officer chased the thief because he was protecting the bank.,he,"['The police officer', 'the thief']",0
The mechanic charged the man one hundred dollars although he had done no work.,he,"['The mechanic', 'the man']",0
The mechanic charged the man one hundred dollars although he only had eighty dollars.,he,"['The mechanic', 'the man']",1
"The cat looked at the big dog, and it was terrified.",it,"['The cat', 'the big dog']",0
"The cat looked at the big dog, and it barked menacingly.",it,"['The cat', 'the big dog']",1
"Batman caught the thief, and he plead innocence.",he,"['Batman', 'the thief']",1
"Batman caught the thief, and he recovered the stolen diamonds.",he,"['Batman', 'the thief']",0
"The Emancipation Proclamation made slavery illegal, but it was still practiced.",it,"['The Emancipation Proclamation', 'slavery']",1
"The Emancipation Proclamation made slavery illegal, but it did not actually cause many slaves to be freed.",it,"['The Emancipation Proclamation', 'slavery']",0
It annoyed Chris when Sebastian jangled his keys because he was in a bad mood.,he,"['Chris', 'Sebastian']",0
It annoyed Chris when Sebastian jangled his keys because he wanted to make fun.,he,"['Chris', 'Sebastian']",1
Sam helped Davey fortify their bunker because he thought the Mexicans were invading.,he,"['Sam', 'Davey']",1
Sam helped Davey fortify their bunker because he wanted to be a good friend.,he,"['Sam', 'Davey']",0
"Fred drove to Mack's tire shop, and he bought a tire.",he,"['Fred', 'Mack']",0
"Fred drove to Mack's tire shop, and he sold a tire.",he,"['Fred', 'Mack']",1
"Randy went to Nick's store, and bought his groceries.",his,"['Randy', 'Nick']",0
"Randy went to Nick's store, and looked at his groceries.",his,"['Randy', 'Nick']",1
"Henry changed Jack's oil, because he gave him money.",he,"['Henry', 'Jack']",1
"Henry changed Jack's oil, because he needed money.",he,"['Henry', 'Jack']",0
"Bob cooked omelets for Jack, because he knew how.",he,"['Bob', 'Jack']",0
"Bob cooked omelets for Jack, because he was hungry.",he,"['Bob', 'Jack']",1
John bought a beer for Bill because he likes cool guys.,he,"['John', 'Bill']",0
John bought a beer for Bill because he is cool.,he,"['John', 'Bill']",1
Gartok defeated Grognak because he was the stronger man.,he,"['Gartok', 'Grognak']",0
Gartok defeated Grognak because he was puny and weak.,he,"['Gartok', 'Grognak']",1
Shawn hit Joe but he did not scream.,he,"['Shawn', 'Joe']",1
Shawn hit Joe but he did not apologize.,he,"['Shawn', 'Joe']",0
Katie accused Jane but she was not found guilty.,she,"['Katie', 'Jane']",1
Katie accused Jane but she felt badly about it.,she,"['Katie', 'Jane']",0
Sherry called Karla but she did not answer.,she,"['Sherry', 'Karla']",1
Sherry called Karla but she later regretted it.,she,"['Sherry', 'Karla']",0
Steven assassinated the president because he was a too liberal.,he,"['Steven', 'the president']",1
Steven assassinated the president because he was paid to do it.,he,"['Steven', 'the president']",0
The wolves ate the cows because they were hungry.,they,"['The wolves', 'the cows']",0
The wolves ate the cows because they were delicious.,they,"['The wolves', 'the cows']",1
Michael backed Bill because John really liked him.,him,"['Michael', 'Bill']",1
Michael backed Bill because John asked him to.,him,"['Michael', 'Bill']",0
"Johnson wanted to make friendship with David, because he is well connected.",he,"['Johnson', 'David']",1
"Johnson wanted to make friendship with David, because he wanted help.",he,"['Johnson', 'David']",0
The company declared bonus for the employees because they made huge profits.,they,"['The company', 'the employees']",0
The company declared bonus for the employees because they worked hard.,they,"['The company', 'the employees']",1
The school denied parents parking permits because they did not want the parking lots to be over crowded with cars.,they,"['The school', 'parents']",0
The school denied parents parking permits because they violated parking rules.,they,"['The school', 'parents']",1
Joe slapped Jose in the face because he cussed him out.,he,"['Joe', 'Jose']",1
Joe slapped Jose in the face because he was angry.,he,"['Joe', 'Jose']",0
Stephanie gave Brandy flowers because she had a lot of them.,she,"['Stephanie', 'Brandy']",0
Stephanie gave Brandy flowers because she was sick.,she,"['Stephanie', 'Brandy']",1
The team decided to cancel their relations with AT&T Corporate because they ran out of money.,they,"['The team', 'AT&T Corporate']",0
The team decided to cancel their relations with AT&T Corporate because they are arrogant.,they,"['The team', 'AT&T Corporate']",1
John chose Bill because he was choosing.,he,"['John', 'Bill']",0
John chose Bill because he was the best choice.,he,"['John', 'Bill']",1
John thanked Bill because he had needed help.,he,"['John', 'Bill']",0
John thanked Bill because he was helpful.,he,"['John', 'Bill']",1
John ridiculed Bill because he liked to look down upon others.,he,"['John', 'Bill']",0
John ridiculed Bill because he acted like a fool.,he,"['John', 'Bill']",1
John disliked Bill and he did not pick him.,he,"['John', 'Bill']",0
"John disliked Bill, but he did not know.",he,"['John', 'Bill']",1
Godzilla will stomp all over Tokyo if it rises from the ocean.,it,"['Godzilla', 'Tokyo']",0
Godzilla will stomp all over Tokyo if it does not build better defenses.,it,"['Godzilla', 'Tokyo']",1
The grandmother threw her granddaughter to her death because she felt jealous.,she,"['The grandmother', 'her granddaughter']",0
The grandmother threw her granddaughter to her death because she would not stop screaming.,she,"['The grandmother', 'her granddaughter']",1
"Bob Marley shot the sheriff, but he swears it was in self-defense.",he,"['Bob Marley', 'the sheriff']",0
"Bob Marley shot the sheriff, but he survived.",he,"['Bob Marley', 'the sheriff']",1
The mother punishes the daughter because she was disobedient.,she,"['The mother', 'the daughter']",1
The mother punished the daughter because she was provoked.,she,"['The mother', 'the daughter']",0
The teachers failed the students because they answered the test incorrectly.,they,"['The teachers', 'the students']",1
The teachers failed the students because they graded the test incorrectly.,they,"['The teachers', 'the students']",0
The river destroyed the bridge because it was high.,it,"['The river', 'the bridge']",0
The river destroyed the bridge because it was low.,it,"['The river', 'the bridge']",1
The army crossed the river because it was shallow.,it,"['The army', 'the river']",1
The army crossed the river because it was retreating.,it,"['The army', 'the river']",0
"The young up-and-comer destroyed the old veteran Star in the shootout, so he got benched for the rest of the season.",he,"['The young up-and-comer', 'the old veteran Star']",1
"The young up-and-comer destroyed the old veteran Star in the shootout, so he got placed on the starting line for the rest of the season.",he,"['The young up-and-comer', 'the old veteran Star']",0
Monkeys hate lions because they eat them.,they,"['Monkeys', 'lions']",0
Monkeys hate lions because they are scary.,they,"['Monkeys', 'lions']",1
The sword was stuck in the tree because it was wedged in there really well.,it,"['The sword', 'the tree']",0
The sword was stuck in the tree because it grew up around it.,it,"['The sword', 'the tree']",1
"In last week's tennis match, Djokovic imitated Roddick's serve because he was the better player.",he,"['Djokovic', 'Roddick']",1
"In last week's tennis match, Djokovic imitated Roddick's serve because he was funny.",he,"['Djokovic', 'Roddick']",0
The infection spread throughout the building because it was airborne.,it,"['The infection', 'the building']",0
The infection spread throughout the building because it was ventilated.,it,"['The infection', 'the building']",1
The museum curator looked at the patron and said he should leave.,he,"['The museum curator', 'the patron']",1
The museum curator looked at the patron and he saw him squirm.,he,"['The museum curator', 'the patron']",0
Our professor told the TA that he needed his help.,he,"['Our professor', 'the TA']",0
Our professor told the TA that he could have the day off.,he,"['Our professor', 'the TA']",1
Jack shouted at Bill because he crashed the car.,he,"['Jack', 'Bill']",1
Jack shouted at Bill because he was angry.,he,"['Jack', 'Bill']",0
The golfers waved on the players because they were waiting.,they,"['The golfers', 'the players']",1
The golfers waved on the players because they were holding them up.,they,"['The golfers', 'the players']",0
Allen laughed at Jimmy because he told a funny joke.,he,"['Allen', 'Jimmy']",1
Allen laughed at Jimmy because he was making fun of him.,he,"['Allen', 'Jimmy']",0
The construction workers hollered at the girls when they walked by.,they,"['The construction workers', 'the girls']",1
The construction workers hollered at the girls when they saw them.,they,"['The construction workers', 'the girls']",0
Todd told Bill that he should run the presidency race.,he,"['Todd', 'Bill']",1
Todd told Bill that he needed some money.,he,"['Todd', 'Bill']",0
Sally was really happy that Beth finally got a job because she had been unemployed for years.,she,"['Sally', 'Beth']",1
Sally was really happy that Beth finally got a job because she is a concerned friend.,she,"['Sally', 'Beth']",0
The painting was at the museum because it was having a display.,it,"['The painting', 'the museum']",1
The painting was at the museum because it was on display.,it,"['The painting', 'the museum']",0
Jill was writing on a pad for Jane because she needed directions.,she,"['Jill', 'Jane']",1
Jill was writing on a pad for Jane because she wanted to leave her address.,she,"['Jill', 'Jane']",0
The military prepared to go to battle with an Amish colony because they were amassing a dangerous number of goats without a permit.,they,"['The military', 'an Amish colony']",1
The military prepared to go to battle with an Amish colony because they felt threatened.,they,"['The military', 'an Amish colony']",0
The group grew tired of making these sentences because they are tedious.,they,"['The group', 'these sentences']",1
The group grew tired of making these sentences because they are lazy.,they,"['The group', 'these sentences']",0
The mysterious creature is drinking whiskey because it tastes good.,it,"['The mysterious creature', 'whiskey']",1
The mysterious creature is drinking whiskey because it still has more of these sentences to write.,it,"['The mysterious creature', 'whiskey']",0
Excalibur spent time with the stone because it needed a place to wait.,it,"['Excalibur', 'the stone']",0
Excalibur spent time with the stone because it was very smooth and sturdy.,it,"['Excalibur', 'the stone']",1
The band loves their fans because they come to every show.,they,"['The band', 'their fans']",1
The band loves their fans because they cannot exist without support.,they,"['The band', 'their fans']",0
Jimbo ate the fish that Bobbert prepared because he was a good cook.,he,"['Jimbo', 'Bobbert']",1
Jimbo ate the fish that Bobbert prepared because he was hungry.,he,"['Jimbo', 'Bobbert']",0
The glass hit the floor and it broke.,it,"['The glass', 'the floor']",0
The glass hit the floor and it scratched.,it,"['The glass', 'the floor']",1
The cow ran into the fence and it broke.,it,"['The cow', 'the fence']",1
The cow ran into the fence and it got hurt.,it,"['The cow', 'the fence']",0
Sally kicked Mary and she was hurt.,she,"['Sally', 'Mary']",1
Sally kicked Mary and she apologized.,she,"['Sally', 'Mary']",0
Mary lied to Sue and she slapped her.,she,"['Mary', 'Sue']",1
Mary lied to Sue and she asked for forgiveness.,she,"['Mary', 'Sue']",0
David hit Bill and he enjoyed it.,he,"['David', 'Bill']",0
David hit Bill and he cried.,he,"['David', 'Bill']",1
The gardener watered the owner's rose because he was doing his job.,he,"['The gardener', 'the owner']",0
The gardener watered the owner's rose because he paid him for that.,he,"['The gardener', 'the owner']",1
Zidane headbutted Zambrotta because he could not control his anger.,he,"['Zidane', 'Zambrotta']",0
Zidane headbutted Zambrotta because he was being insulting.,he,"['Zidane', 'Zambrotta']",1
The man gave the beggar some money because he was too persistent.,he,"['The man', 'the beggar']",1
The man gave the beggar some money because he was very generous.,he,"['The man', 'the beggar']",0
Bill triumphed over John in the boxing ring because he fought smarter.,he,"['Bill', 'John']",0
Bill triumphed over John in the boxing ring because he fought cowardly.,he,"['Bill', 'John']",1
The manager fired the intern because she was too rebellious.,she,"['The manager', 'the intern']",1
The manager fired the intern because she was upset.,she,"['The manager', 'the intern']",0
The government officials publicly apologized to the people because they were forced to.,they,"['The government officials', 'the people']",0
The government officials publicly apologized to the people because they demanded an apology.,they,"['The government officials', 'the people']",1
The police officer shot the protester because he lost composure.,he,"['The police officer', 'the protester']",0
The police officer shot the protester because he tried to attack the governor.,he,"['The police officer', 'the protester']",1
James always gives orders to Owen because he is very obedient.,he,"['James', 'Owen']",1
James always gives orders to Owen because he is very bossy.,he,"['James', 'Owen']",0
Chelsea hate Manchester United because they always come in second.,they,"['Chelsea', 'Manchester United']",0
Chelsea hate Manchester United because they are too cocky.,they,"['Chelsea', 'Manchester United']",1
The professor highly recommends the student because he asks very good questions.,he,"['The professor', 'the student']",1
The professor highly recommends the student because he appreciates an inquisitive mind.,he,"['The professor', 'the student']",0
The music player did not open the file because it was in the wrong format.,it,"['The music player', 'the file']",1
The music player did not open the file because it did not play that format.,it,"['The music player', 'the file']",0
The students protested against the new policies because they were too strict.,they,"['The students', 'the new policies']",1
The students protested against the new policies because they were angry.,they,"['The students', 'the new policies']",0
Tim asked Jerry to run to the store so that he could relax.,he,"['Tim', 'Jerry']",0
Tim asked Jerry to run to the store so that he would be late for home.,he,"['Tim', 'Jerry']",1
The food in the refrigerator went bad because it was past the expiration date.,it,"['The food', 'the refrigerator']",0
The food in the refrigerator went bad because it was not plugged in.,it,"['The food', 'the refrigerator']",1
The police captured the criminals because they were less prepared.,they,"['The police', 'the criminals']",1
The police captured the criminals because they were more prepared.,they,"['The police', 'the criminals']",0
The ball broke the window because it was fragile.,it,"['The ball', 'the window']",1
The ball broke the window because it was hard.,it,"['The ball', 'the window']",0
"Thomas pursued Peter, but he escaped.",he,"['Thomas', 'Peter']",1
"Thomas pursued Peter, but he fell behind.",he,"['Thomas', 'Peter']",0
The employer let John have the assignment even though he did not want it.,he,"['The employer', 'John']",1
The employer let John have the assignment even though he wanted it.,he,"['The employer', 'John']",0
The computer rejected the password because it was incorrect.,it,"['The computer', 'the password']",1
The computer rejected the password because it was malfunctioning.,it,"['The computer', 'the password']",0
The kids asked their neighbors if they could have candy on Halloween.,they,"['The kids', 'their neighbors']",0
The kids asked their neighbors if they had any candy on Halloween.,they,"['The kids', 'their neighbors']",1
The glass told the toaster that it was fat.,it,"['The glass', 'the toaster']",1
The glass told the toaster that it liked chocolate.,it,"['The glass', 'the toaster']",0
Sally gave Kelly a doll because she loved dolls.,she,"['Sally', 'Kelly']",1
Sally gave Kelly a doll because she had extra dolls.,she,"['Sally', 'Kelly']",0
Jack pushed Tim down the stairs because he was mad.,he,"['Jack', 'Tim']",0
Jack pushed Tim down the stairs and he slipped to the ground.,he,"['Jack', 'Tim']",1
John asked the scientist what he was working on.,he,"['John', 'the scientist']",1
John asked the scientist what he could do to help.,he,"['John', 'the scientist']",0
Knights preferred dragons over horses because they could fly.,they,"['horses', 'dragons']",1
Knights preferred dragons over horses because they could not fly.,they,"['horses', 'dragons']",0
The artist told the model that she needed to stand up straighter.,she,"['The artist', 'the model']",1
The artist told the model that she needed to get more paint.,she,"['The artist', 'the model']",0
Misty was replaced by May because she had to go back home.,she,"['Misty', 'May']",0
Misty was replaced by May because she was the only one available.,she,"['Misty', 'May']",1
"Shigeru Miyamoto was the mentor of Satoshi Tajiri, so he learned many things.",he,"['Shigeru Miyamoto', 'Satoshi Tajiri']",1
"Shigeru Miyamoto was the mentor of Satoshi Tajiri, so he taught many things.",he,"['Shigeru Miyamoto', 'Satoshi Tajiri']",0
Brock understood the material better than Tracy because he was paying attention.,he,"['Brock', 'Tracy']",0
Brock understood the material better than Tracy because he was not paying attention.,he,"['Brock', 'Tracy']",1
"John wanted to vote for Doe, but he did not seem like the right candidate.",he,"['John', 'Doe']",1
